n_probes,repeat,strategy,reconstruction_error_l1,reconstruction_error_l2,ranking_ndcg_k3,ranking_ndcg_k5,jaccard_k3,precision_k3,recall_k3,kendall_tau
4,686,ucb,1444585.717279408,5065072.105859047,0.9450174148354773,0.9862347542747936,0.5,0.6666666666666666,0.6666666666666666,0.6
4,686,dpp,3830578.5018344945,11456418.267919783,0.37591625365400594,0.6702617678580383,0.5,0.6666666666666666,0.6666666666666666,0.0
4,687,random,6697795.382971035,14081293.517150868,0.6491372871211647,0.6947374882150538,0.5,0.6666666666666666,0.6666666666666666,0.11952286093343936
4,687,round_robin,7628561.154875567,14546076.671772093,0.7564800393001768,0.8153031399932191,0.5,0.6666666666666666,0.6666666666666666,0.2
4,687,ucb,1388015.3997889804,5061171.334591465,0.9450174148354773,0.9862347542747936,0.5,0.6666666666666666,0.6666666666666666,0.6
4,687,dpp,4846415.619065964,9678589.502089819,0.9275615227969028,0.9885981009237274,0.5,0.6666666666666666,0.6666666666666666,0.6
4,688,random,4842807.903579024,9678438.22698243,1.0,0.9984926979944373,1.0,1.0,1.0,0.9486832980505138
4,688,round_robin,7619839.827009197,14546042.286194215,0.7564800393001768,0.8153031399932191,0.5,0.6666666666666666,0.6666666666666666,0.2
4,688,ucb,1406731.4389168466,5061734.268983272,0.9450174148354773,0.9862347542747936,0.5,0.6666666666666666,0.6666666666666666,0.6
4,688,dpp,5942518.482695904,12912408.805101432,0.3569475497154197,0.6515740466463814,0.5,0.6666666666666666,0.6666666666666666,-0.2
4,689,random,6704653.708640501,14081355.913555559,0.5793212280681006,0.691456098682567,0.5,0.6666666666666666,0.6666666666666666,0.10540925533894598
4,689,round_robin,3886676.80224219,8964354.018560829,0.9123377033685562,0.9540391261945377,0.5,0.6666666666666666,0.6666666666666666,0.4
4,689,ucb,1374942.7254474037,5060829.005542555,0.9450174148354773,0.9862347542747936,0.5,0.6666666666666666,0.6666666666666666,0.6
4,689,dpp,6329293.72262909,13637710.570599765,0.32438219341523794,0.6194910797939066,0.5,0.6666666666666666,0.6666666666666666,-0.2
6,685,random,5410192.664329326,13141114.382809056,0.3091583739868912,0.6219768305862876,0.5,0.6666666666666666,0.6666666666666666,0.0
6,685,round_robin,4630596.016809147,11879682.796936242,0.7499443955479356,0.7521411581875056,1.0,1.0,1.0,0.4
6,685,ucb,98807.74970646536,174545.19748985808,1.0,1.0,1.0,1.0,1.0,1.0
6,685,dpp,5529306.498729863,13270830.50575604,0.28713149066235566,0.6135818925975675,0.5,0.6666666666666666,0.6666666666666666,-0.2
6,686,random,4861967.172149649,9679298.966138223,0.9123377033685562,0.9602941294751985,0.5,0.6666666666666666,0.6666666666666666,0.6
6,686,round_robin,6809032.350252656,14202540.257013714,0.5535333809029732,0.6153627231232317,0.5,0.6666666666666666,0.6666666666666666,-0.2
6,686,ucb,77608.159589405,122321.47987760698,1.0,1.0,1.0,1.0,1.0,1.0
6,686,dpp,4067003.2779067433,9157072.138039418,0.8204947609909564,0.9423627986733308,0.5,0.6666666666666666,0.6666666666666666,0.2
6,687,random,6306433.017610446,13637525.322525673,0.3418380854538125,0.6541724586665437,0.5,0.6666666666666666,0.6666666666666666,0.10540925533894598
6,687,round_robin,5910164.988515539,12911795.215914613,0.6585372144062521,0.7235588399051388,0.5,0.6666666666666666,0.6666666666666666,0.2
6,687,ucb,110054.50159987675,176876.19958437115,1.0,1.0,1.0,1.0,1.0,1.0
6,687,dpp,4084987.490404318,9157315.516222356,0.8204947609909564,0.9423627986733308,0.5,0.6666666666666666,0.6666666666666666,0.2
6,688,random,5394771.573732073,13140819.512887703,0.5409319796246596,0.6536355087909876,0.5,0.6666666666666666,0.6666666666666666,0.10540925533894598
6,688,round_robin,5122228.99512258,12524267.116164962,0.3569475497154197,0.6515740466463814,0.5,0.6666666666666666,0.6666666666666666,-0.2
6,688,ucb,106601.78450687075,163758.2934245215,1.0,1.0,1.0,1.0,1.0,1.0
6,688,dpp,3078802.866792774,8395493.719739947,0.7700831671123949,0.9285795766931811,0.2,0.3333333333333333,0.3333333333333333,0.0
6,689,random,6686554.710928702,14081187.274352819,0.1263189652188326,0.5302651261960154,0.2,0.3333333333333333,0.3333333333333333,-0.6
6,689,round_robin,4831681.36648062,9678415.866543941,0.9817180011857041,0.9804815097688453,1.0,1.0,1.0,0.6
6,689,ucb,113727.9456133128,188401.11209050904,1.0,1.0,1.0,1.0,1.0,1.0
6,689,dpp,6660235.147549712,14081004.314444313,0.2685735014749938,0.5819931403263454,0.5,0.6666666666666666,0.6666666666666666,-0.2
8,685,random,6812334.61835289,14202555.663377361,0.5535333809029732,0.6201104243983298,0.5,0.6666666666666666,0.6666666666666666,0.0
8,685,round_robin,1410703.763800572,5063595.663309812,0.9450174148354773,0.9862347542747936,0.5,0.6666666666666666,0.6666666666666666,0.6
8,685,ucb,56979.780855195684,89817.08523087348,1.0,1.0,1.0,1.0,1.0,1.0
8,685,dpp,2875450.7243186035,10859656.922341146,0.3933721456925805,0.6726461224842027,0.5,0.6666666666666666,0.6666666666666666,0.2
8,686,random,5545324.026107152,13271093.777834041,0.28713149066235566,0.6135818925975675,0.5,0.6666666666666666,0.6666666666666666,-0.2
8,686,round_robin,866112.0557731334,3144066.9192638905,1.0,1.0,1.0,1.0,1.0,1.0
8,686,ucb,57219.021295217986,96549.38854559396,1.0,1.0,1.0,1.0,1.0,1.0
