drift_type,magnitude,repeat,naive_bias,irbs_bias,naive_rmse,irbs_rmse
slow_ramp,0.1,14,-46968.784308705886,52167.79076180805,38593.4215113927,32743.36481612807
slow_ramp,0.1,15,44031.800371912745,-36793.32759486561,38593.4215113927,32743.36481612807
slow_ramp,0.1,16,-8816.440419336897,-36123.89619112245,38593.4215113927,32743.36481612807
slow_ramp,0.1,17,-20998.161362493323,5543.458335598756,38593.4215113927,32743.36481612807
slow_ramp,0.1,18,8157.236309693515,-54615.13126071583,38593.4215113927,32743.36481612807
slow_ramp,0.1,19,26813.508881164656,-18682.74477361588,38593.4215113927,32743.36481612807
slow_ramp,0.15,0,131173.43307374307,-32908.30843351144,50559.96997150081,32364.42812870824
slow_ramp,0.15,1,-1675.0835859111394,-45944.768188862276,50559.96997150081,32364.42812870824
slow_ramp,0.15,2,-12992.867405266705,-67205.6051562724,50559.96997150081,32364.42812870824
slow_ramp,0.15,3,-22989.78135271542,-31901.445599906292,50559.96997150081,32364.42812870824
slow_ramp,0.15,4,9592.4024454412,5652.3567089515855,50559.96997150081,32364.42812870824
slow_ramp,0.15,5,53833.56401196134,-21135.46957814222,50559.96997150081,32364.42812870824
slow_ramp,0.15,6,47513.108425299695,15715.101435153658,50559.96997150081,32364.42812870824
slow_ramp,0.15,7,-12236.815267280006,27022.32452858932,50559.96997150081,32364.42812870824
slow_ramp,0.15,8,-50586.8258483306,-711.0238459398679,50559.96997150081,32364.42812870824
slow_ramp,0.15,9,-11977.759114404209,-39052.29572008943,50559.96997150081,32364.42812870824
slow_ramp,0.15,10,-55175.30665235726,20360.944117263745,50559.96997150081,32364.42812870824
slow_ramp,0.15,11,-17037.02106781359,15393.692376610998,50559.96997150081,32364.42812870824
slow_ramp,0.15,12,-24746.778983602533,-40021.589236584085,50559.96997150081,32364.42812870824
slow_ramp,0.15,13,-29911.864046955947,46752.598430166865,50559.96997150081,32364.42812870824
slow_ramp,0.15,14,-31228.55304009578,-58073.37940666705,50559.96997150081,32364.42812870824
slow_ramp,0.15,15,7384.6225689936255,-18353.537894031935,50559.96997150081,32364.42812870824
slow_ramp,0.15,16,100258.42233572435,15557.626808868576,50559.96997150081,32364.42812870824
