mean,median,std,p95,p99,cvar95,cvar99,n_samples,slo_violation_rate,scheduler,target,device,load,distance,regime,n_cotenants,cotenants,scenario,seed
24755.03566673376,12672.83809748829,45382.234981295886,62298.84125982393,261811.3096505857,183556.53228089353,359903.6878999692,300,0.8666666666666667,sit_dpp,grpc_endpoint,cloud_c5,0.7,same_numa,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",gRPC Endpoint,42
140955.5841580821,21341.978864438664,1646040.8753424187,146645.9453267388,314330.0155407265,2286727.5843865583,10539581.729631955,300,0.92,random,grpc_endpoint,cloud_c5,0.7,same_core,structured,3,"batch_training,idle_daemon,data_shuffle",gRPC Endpoint,43
32767.336032382325,12544.650823078697,66303.19192028428,118109.20287266828,281316.7585708499,254958.36724804688,528030.3999003605,300,0.8566666666666667,sit_dpp,grpc_endpoint,cloud_c5,0.7,same_core,structured,3,"idle_daemon,log_aggregator,data_shuffle",gRPC Endpoint,43
22780.535672524184,11214.490824226908,46680.69835081743,65543.72549061324,177091.56841414797,169653.12155720542,402943.13643618504,300,0.7766666666666666,random,grpc_endpoint,cloud_c5,0.7,same_numa,structured,3,"batch_training,video_transcode,idle_daemon",gRPC Endpoint,43
17878.902581275932,8771.116560297061,34847.82779955839,51523.41723936321,172653.0337621118,133999.43916383205,282410.70410834224,300,0.69,sit_dpp,grpc_endpoint,cloud_c5,0.7,same_numa,structured,3,"idle_daemon,log_aggregator,data_shuffle",gRPC Endpoint,43
82413.7668838267,20333.724946575803,463376.63080974546,204205.23828222408,851195.7840428702,1075395.742276089,3612280.4899063855,300,0.9,random,grpc_endpoint,cloud_c5,0.7,same_core,adversarial,3,"data_shuffle,idle_daemon,log_aggregator",gRPC Endpoint,43
44317.146830047925,20088.302096975913,89446.8614371599,153239.88303996847,418434.8909786891,339989.6744072755,741298.3083834158,300,0.9233333333333333,sit_dpp,grpc_endpoint,cloud_c5,0.7,same_core,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",gRPC Endpoint,43
54862.293837408535,26508.48567569742,100285.92031956972,174809.61189289668,407872.76370402076,374615.5501266139,761935.648245553,300,0.97,random,grpc_endpoint,cloud_c5,0.7,same_numa,adversarial,3,"video_transcode,log_aggregator,batch_training",gRPC Endpoint,43
109440.67000011783,14612.134157143177,1126535.7355977008,116163.4043226196,752626.3355798522,1794441.7203441747,7972924.392864771,300,0.86,sit_dpp,grpc_endpoint,cloud_c5,0.7,same_numa,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",gRPC Endpoint,43
54049.23929413376,14975.731132088506,239153.78669395918,121420.50621040644,1045517.7776145772,695260.0189955807,2255894.1035814076,300,0.8333333333333334,random,grpc_endpoint,cloud_c5,0.7,same_core,structured,3,"log_aggregator,video_transcode,idle_daemon",gRPC Endpoint,44
